Included in Data Table?,PaperID,Expertise IV or Expert sample,Sample(s),DV,Lead Author,Year,Title,Abstract,Journal,Volume,Start Page,End Page,Database,Authors,
9,572,X,junior doctors,performance on prescribing task,Scott,2011,Making electronic prescribing alerts more effective: scenario-based experimental study in junior doctors,"Objective Expert authorities recommend clinical decision support systems to reduce prescribing error rates, yet large numbers of insignificant on-screen alerts presented in modal dialog boxes persistently interrupt clinicians, limiting the effectiveness of these systems. This study compared the impact of modal and non-modal electronic (e-) prescribing alerts on prescribing error rates, to help inform the design of clinical decision support systems. Design A randomized study of 24 junior doctors each performing 30 simulated prescribing tasks in random order with a prototype e-prescribing system. Using a within-participant design, doctors were randomized to be shown one of three types of e-prescribing alert (modal, non-modal, no alert) during each prescribing task. Measurements The main outcome measure was prescribing error rate. Structured interviews were performed to elicit participants' preferences for the prescribing alerts and their views on clinical decision support systems. Results Participants exposed to modal alerts were 11.6 times less likely to make a prescribing error than those not shown an alert (OR 11.56, 95% CI 6.00 to 22.26). Those shown a non-modal alert were 3.2 times less likely to make a prescribing error (OR 3.18, 95% CI 1.91 to 5.30) than those not shown an alert. The error rate with non-modal alerts was 3.6 times higher than with modal alerts (95% CI 1.88 to 7.04). Conclusions Both kinds of e-prescribing alerts significantly reduced prescribing error rates, but modal alerts were over three times more effective than non-modal alerts. This study provides new evidence about the relative effects of modal and non-modal alerts on prescribing outcomes.",JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,18,789,798,Web of Science,"Scott, Gregory P. T.; Shah, Priya; Wyatt, Jeremy C.; Makubate, Boikanyo; Cross, Frank W.",
9,573,X,ECG experts ,Number of errors ,Sibbald,2013,Checklists improve experts' diagnostic decisions,"Context: Checklists are commonly proposed tools to reduce error. However, when applied by experts, checklists have the potential to increase cognitive load and result in â€˜expertise reversalâ€™. One potential solution is to use checklists in the verification stage, rather than in the initial interpretation stage of diagnostic decisions. This may avoid expertise reversal by preserving the expertsâ€™ initial approach. Whether checklist use during the verification stage of diagnostic decision making improves expertsâ€™ diagnostic decisions is unknown. Methods: Fifteen experts interpreted 18 electrocardiograms (ECGs) in four different conditions: undirected interpretation; verification without a checklist; verification with a checklist, and interpretation combined with verification with a checklist. Outcomes included the number of errors, cognitive load, interpretation time and interpretation length. Outcomes were compared in two analyses: (i) a comparison of verification conditions with and without a checklist, and (ii) a comparison of all four conditions. Standardised scores for each outcome were used to calculate the efficiency of a checklist and to weigh its relative benefit against its relative cost in terms of cognitive load imposed, interpretation time and interpretation length. Results: In both analyses, checklist use was found to reduce error (more errors were corrected in verification conditions with checklists [0.29 Â± 0.77 versus 0.03 Â± 0.61 errors per ECG], and fewer net errors occurred in all conditions with checklists [0.39 Â± 1.14 versus 1.04 Â± 1.49 errors per ECG]; p &lt; 0.01 for both). Checklists were not associated with increased cognitive load (verifications with and without checklists: 3.7 Â± 1.9 and 3.3 Â± 2.0, respectively; conditions with and without checklists: 4.0 Â± 1.8 versus 3.9 Â± 2.0, respectively [p = not significant for both]). Checklists resulted in greater interpretation times and lengths (p &lt; 0.01 for all). However, checklists were efficient in terms of the cognitive load invested, interpretation time and interpretation length (p &lt; 0.01 for all). Conclusions: Among ECG interpretation experts, checklist use during the verification stage of diagnostic decisions did not increase cognitive load or cause expertise reversal, but did reduce diagnostic error. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Medical Education,47,301,308,PsycINFO ," Sibbald, Matthew
Sibbald
Matthew
Ho Ping Kong Center for Excellence in Education and Practice
University Health Network
Toronto
ON
Canada
mattsibbald@gmail.com , de Bruin, Anique B. H.
de Bruin
Anique B. H.
Department of Educational Development and Research
Faculty of Health, Medicine and Life Sciences, Maastricht University
Maastricht
Netherlands , van Merrienboer, Jeroen J. G.
van Merrienboer
Jeroen J. G.
Department of Educational Development and Research
Faculty of Health, Medicine and Life Sciences, Maastricht University
Maastricht
Netherlands
0000-0002-5868-7031",
9,575,X,Mental health professional,Bias in risk assessment,Skeem,2005,Gender and Risk Assessment Accuracy: Underestimating Women's Violence Potential,"Understanding factors that contribute to mental health professionals' (MHPs') accuracy in assessing patients risk of violence can inform efforts to improve accuracy and to integrate risk assessment technology with practice. Based on a sample of 147 clinicians who assessed 680 patients in a psychiatric emergency room, this study investigates the influence of patient gender, MHP gender, and their potential interaction on MHPS' risk assessment accuracy. The results indicate that MHPs of both genders are particularly limited in their ability to assess female patients' risk of future violence. This finding was not limited to a particular professional group and was not attributable to gender-related differences in violence. Implications for future research on the judgment processes that may underlie MHPs' limited accuracy with women and for training programs in violence risk assessment are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Law and Human Behavior,29,173,186,PsycARTICLES," Skeem, Jennifer
Skeem
Jennifer
University of California
Irvine
CA
US
skeem@uci.edu , Schubert, Carol
Schubert
Carol
University of Pittsburgh Medical Center
Pittsburgh
PA
US , Stowman, Stephanie
Stowman
Stephanie
University of Nevada
Las Vegas
NV
US , Beeson, Stacy
Beeson
Stacy
University of Nevada
Las Vegas
NV
US , Mulvey, Edward
Mulvey
Edward
University of Pittsburgh Medical Center
Pittsburgh
PA
US , Gardner, William
Gardner
William
Ohio State University
OH
US , Lidz, Charles
Lidz
Charles
University of Massachusetts Medical Center
MA
US",
,577,X,Pianists,Accuracy and consistency,Sloboda,1998,Determinants of finger choice in piano sight-reading,"Sixteen pianists sight-read the unfingered right-hand score of 7 studies by Czerny. The pianists were of 3 levels of expertise. Each study was performed twice. Fingerings were transcribed from video recordings. Measures were taken of performance accuracy and fingering consistency. The choices made were compared to the predictions of a model based primarily on motor–anatomical considerations. Performance accuracy and fingering consistency were both correlated positively with expertise and negatively with the calculated difficulty of fingerings according to the model. These data are consistent with the notion that expertise in piano fingering depends on the availability of overlearned, rule-governed response sequences triggered by familiar visual patterns within the notation. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Journal of Experimental Psychology: Human Perception and Performance,24,185,203,PsycARTICLES," Sloboda, John A.
Sloboda
John A.
Keele U
Dept of Psychology
Keele
England , Clarke, Eric F.
Clarke
Eric F. , Parncutt, Richard
Parncutt
Richard , Raekallio, Matti
Raekallio
Matti",
,580,X,expert vs nonexperts,accuracy of ratings,Smither,1989,An investigation of the validity of expert true score estimates in appraisal research,"Researchers of appraisal rating accuracy have defined ratee true scores as the mean ratings given by experts provided with enhanced opportunities to observe performance. The external validity of accuracy research depends on the relevance of these expert estimates to true performance. In our study, we provided expert raters with enhanced opportunities to view videotapes of five ratees under conditions of high true dimension intercorrelation or low true intercorrelation. The accuracy of expert ratings was compared with the accuracy of nonexpert ratings of the same tapes viewed under more typical rating conditions. Subjects' ratings were compared with ratee true scores defined in terms of objective worker output. Results indicated that experts were more accurate than nonexperts, regardless of the true dimension intercorrelations. Accuracy indices computed by using objective true scores were highly correlated with indices computed by using the mean expert ratings as true score estimates. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",Journal of Applied Psychology,74,143,151,PsycARTICLES," Smither, James W.
Smither
James W.
AT&T, Morristown, NJ
US , Barry, Stephen R.
Barry
Stephen R. , Reilly, Richard R.
Reilly
Richard R.",
,581,X,Attorneys vs students,Racial bias,Sommers,2007,"Race-based judgments, race-neutral justifications: Experimental examination of peremptory use and the Batson Challenge procedure","Practically speaking, the peremptory challenge remained an inviolate jury selection tool in the United States until the Supreme Court's decision in Batson v. Kentucky . 476 U.S. 79 (1986). Batson 's, prohibition against race-based peremptories was based on two assumptions: (1) a prospective juror's race can bias jury selection judgments; (2) requiring attorneys to justify suspicious peremptories enables judges to determine whether a challenge is, indeed, race-neutral. The present investigation examines these assumptions through an experimental design using three participant populations: college students, advanced law students, and practicing attorneys. Results demonstrate that race does influence peremptory use, but these judgments are typically justified in race-neutral terms that effectively mask the biasing effects of race. The psychological processes underlying these tendencies are discussed, as are practical implications for the legal system. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Law and Human Behavior,31,261,273,PsycARTICLES," Sommers, Samuel R.
Sommers
Samuel R.
Department of Psychology
Tufts University
Medford
MA
US
sam.sommers@tufts.edu , Norton, Michael I.
Norton
Michael I.
Harvard Business School
Boston
MA
US",
,584,X,Expert vs novice ,sensitivity of perceptual system,Sowden,2000,Perceptual learning of the detection of features in X-ray images: A functional role for improvements in adults' visual sensitivity?,"Recent perceptual learning research has found long-term increases in the sensitivity of adults' perceptual systems. The authors examined whether such changes could partly explain improvement on tasks such as perception of medical X-ray images. Experiment 1 found experts' sensitivity to low-contrast dots in X-rays was better than novices'. Experiment 2 found a direction of luminance contrast-specific improvement in novices' detection of low-contrast dots in X-rays as a result of practice. Experiment 3 found a partly specific improvement in novices' detection of low-contrast features in real medical X-rays as a result of practice. Results suggest that experience enhances sensitivity to the critical dimensions of visual analysis for detecting abnormalities in X-ray images. Importantly, they demonstrate a real-world adaptive functional role for the long-term flexibility of sensory systems in adulthood. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Journal of Experimental Psychology: Human Perception and Performance,26,379,390,PsycARTICLES," Sowden, Paul T.
Sowden
Paul T.
U Surrey, School of Human Sciences, Dept of Psychology
Guildford
England , Davies, Ian R. L.
Davies
Ian R. L. , Roling, Penny
Roling
Penny",
9,585,9,elite (expert) cyclist,decision-making ,Spindler,2017,Manipulating implicit beliefs about decision-making ability affects decision-making performance under submaximal physiological load,"This experiment manipulated elite endurance cyclists’ implicit beliefs about the nature of decision-making ability and explored subsequent change in performance on a decision-making task under submaximal physiological load. In total, 54 elite-level endurance cyclists (10 women and 44 men) were manipulated to endorse a limited (susceptible to depletion) or nonlimited (unsusceptible to depletion) implicit belief about decision-making ability. Results showed that after the manipulation cyclists assigned to the limited resource condition had higher levels of limited beliefs and lower levels of nonlimited beliefs than those assigned to the nonlimited resource condition. Those in the limited resource condition also showed a decrease in decision-making performance, whereas those in the nonlimited resource condition showed an increase in decision-making performance. Findings suggest that implicit beliefs about decision-making ability can be manipulated in an elite sport sample and that such manipulation can alter performance on a decision-making task under submaximal physiological load. (PsycINFO Database Record (c) 2017 APA, all rights reserved) (Source: journal abstract)","Sport, Exercise, and Performance Psychology",6,179,187,PsycARTICLES," Spindler, David J.
Spindler
David J.
School of Psychology, Faculty of Social Sciences, University of Wollongong
Wollongong
NSW
Australia
djs927@uowmail.edu.au , Allen, Mark S.
Allen
Mark S.
School of Psychology, Faculty of Social Sciences, University of Wollongong
Wollongong
NSW
Australia , Vella, Stewart A.
Vella
Stewart A.
Early Start Research Institute, Faculty of Social Sciences, University of Wollongong
Wollongong
NSW
Australia , Swann, Christian
Swann
Christian
Early Start Research Institute, Faculty of Social Sciences, University of Wollongong
Wollongong
NSW
Australia",
9,587,X,Gymnastic judges,decision accuracy,Ste-Marie,1996,Enduring memory-influenced biases in gymnastic judging,"An experiment is reported that examined the duration of prior processing effects in gymnastic judging. Gymnastic judges first encountered a series of gymnastic elements during a study phase. Perceptual and recognition tests then followed 1 of 3 delay conditions: immediate, 1 day, or 1 week. For perceptual judgments, gymnastic elements that were performed the same at study and test resulted in the highest level of accuracy. Elements seen for the first time were less accurate, and the lowest level of accuracy occurred for those that had changed in performance from study to test. This descending pattern of accuracy occurred for all 3 delay conditions, indicating that effects of prior processing were long lasting. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)","Journal of Experimental Psychology: Learning, Memory, and Cognition",22,1498,1502,PsycARTICLES," Ste-Marie, Diane M.
Ste-Marie
Diane M.
U Ottawa
School of Human Kinetics
Ottawa
ON
Canada , Valiquette, Sheri M.
Valiquette
Sheri M.",
,588,X,Novice and expert judges,memory in gymnastic judging,Ste-Marie,1991,Prior processing effects on gymnastic judging,"Three experiments examined the influence of prior judgments on direct and indirect memory tests in gymnastic judging. Results for both perceptual and recognition judgments depended on an item's relationship between study and test. For perceptual judgments, moves performed the same resulted in the highest level of accuracy, new moves were less accurate, and the lowest level of accuracy occurred for items where the performance was altered between study and the perceptual test. Novice and expert judges revealed similar memory influences (Exp 1). Memory influences were reduced but not eliminated when Ss were given prior knowledge of these effects (Exp 2). Spacing of repetitions did not enhance these prior processing effects (Exp 3). The findings are discussed in terms of perceptual biases and the practical implications of judges' exposure to an athlete's performance before competition. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Journal of Experimental Psychology: Learning, Memory, and Cognition",17,126,136,PsycARTICLES," Ste-Marie, Diane M.
Ste-Marie
Diane M.
McMaster U, Hamilton, ON
Canada , Lee, Timothy D.
Lee
Timothy D.",
,593,X,Skilled vs less-skilled cricket players,Reaction time,Taliep,2008,"Event-related potentials, reaction time, and response selection of skilled and less-skilled cricket batsmen","The differences in P300 latency, P300 amplitude, response selection, and reaction time between skilled and less-skilled cricket batsmen have been investigated. Eight skilled and ten less-skilled right-handed batsmen each viewed 100 in-swing, 100 out-swing, and 40 slower deliveries displayed in random sequence from projected video footage whilst their responses and electroencephalograms were recorded. Logistic regression was used to derive a discriminative function for the P300 data. This was done to determine whether the skilled batsmen differed from the less-skilled batsmen on the basis of pooled P300 amplitude and latency data. All the batsmen were correctly characterised as being skilled or less-skilled. Logistic regression equations with reaction time and correctness of response data indicated that behavioural data do not correctly classify skilled performance. It is suggested that skilled cricket batsmen have a superior perceptual decision-making ability compared with less-skilled cricket batsmen, as measured by P300 latency and amplitude. This appears to be the first study showing a link between skill and cerebral cortical activity during a perceptual cricket batting task and it could pave the way for future studies on mental processing in cricket batsmen.
",PERCEPTION,37,96,105,Web of Science,"Taliep, M. Sharhidd; Gibson, A. St Clair; Gray, J.; van der Merwe, L.; Vaughan, C. L.; Noakes, T. D.; Kellaway, L. A.; John, L. R.",
,594,X,faculty and doctoral students,Reasoning behind decisions,Tannenbaum,1989,The ethical reasoning process in an organizational consulting situation,"Focused on scenarios in which ethical considerations could affect an organizational consultant's decision whether to provide services. 5 factors were systematically varied in the basic scenario: deception, coercion, risk, invasion of privacy, and probability of success. Ss were 19 faculty and doctoral students. In policy-capturing analysis of the ethical reasoning process, we found moderate agreement on whether to work on the hypothetical project but considerable individual differences in the reasons behind the decisions. Older Ss and/or those in faculty positions were more cautious and used more complex reasoning than younger, student Ss. Findings suggest that education in ethics should include ethical reasoning processes and that policy capturing be used as a training tool. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",Professional Psychology: Research and Practice,20,229,235,PsycARTICLES," Tannenbaum, Scott I.
Tannenbaum
Scott I.
State U New York, Albany
US , Greene, Vickie J.
Greene
Vickie J. , Glickman, Albert S.
Glickman
Albert S.",
,596,X,Nurses,Signal detection and judgement analysis,Thompson,2015,Diagnostic and treatment decision making in community nurses faced with a patient with possible venous leg ulceration: A signal detection analysis,"Background: Judgements and decisions about venous leg ulcer management are characterised by uncertainty. Good judgements and reduced variations in practice require nurses to identify relevant ""signals"" in clinical encounters. Nurses, even experienced ones, vary in their ability to separate these signals from surrounding noise. Objectives: Examine specialist and generalist nursesâ€™ discrimination of clinical signals and noise when (i) diagnosing venous versus other causes leg ulceration, and (ii) starting multilayer compression therapy. Design: A signal detection analysis within a cross sectional survey. Settings: Four English NHS districts. Participants: Tissue viability specialist ( n = 18) and generalist (district and practice nurses, n = 18) sampled from networks of nurses caring for people with leg ulcers. Mean age was 46 years, 78% had more than 10 years nursing experience. They worked on average 32.5h per week, of which 10h were spent caring for people with leg ulcers. Methods: 110 clinical scenarios based on anonymous patient data from a large clinical trial of compression therapy for leg ulceration. The scenarios were classed as either signal (venous leg ulcer present and/or compression therapy warranted, n = 57) or no signal cases (other kind of ulcer and/or compression therapy contraindicated, n = 53) by four experts. Nurses made diagnostic and treatment judgements for each scenario. A signal detection analysis was undertaken for each nurse. Measures of signal detection ( d prime or dâ€² ) and judgement tendency or bias (C) were computed. Differences between specialist and generalist nurses were tested for using the Mann Whitney U test and graphically explored using Receiver Operating Curves (ROC). Results: Specialists identified more true positive cases than the generalist nurses: 75% vs. 59% for the diagnostic judgement ( p &lt;0.01) and 70% vs. 60% for the treatment judgement. They were significantly more sensitive to the signals present (dâ€² 1.68 vs. 1.08 for the diagnostic judgement and 1.62 vs. 1.11 for the treatment judgement). Specialists exhibited a significantly higher bias towards initiating treatment ( C = .81 vs. .56, p &lt;0.01) but this did not extend to their diagnostic judgements. Specialists also varied slightly less in their signal detection abilities. Conclusions: Nurse specialism was associated with better, but still variable, clinical diagnostic and treatment signal detection in simulated venous leg ulcer management. (PsycINFO Database Record (c) 2017 APA, all rights reserved) (Source: journal abstract)",International Journal of Nursing Studies,52,325,333,PsycINFO ," Thompson, Carl
Thompson
Carl
School of Healthcare
University of Leeds
Leeds
United Kingdom
carl.thompson@york.ac.uk
0000-0002-9369-1204 , Adderley, Una
Adderley
Una
School of Healthcare
University of Leeds
Leeds
United Kingdom
0000-0003-1894-3755",
,597,X,fingerprint experts,ability to match fingerprints,Thompson,2014,The Nature of Expertise in Fingerprint Matching: Experts Can Do a Lot with a Little,"Expert decision making often seems impressive, even miraculous. People with genuine expertise in a particular domain can perform quickly and accurately, and with little information. In the series of experiments presented here, we manipulate the amount of ""information'' available to a group of experts whose job it is to identify the source of crime scene fingerprints. In Experiment 1, we reduced the amount of information available to experts by inverting fingerprint pairs and adding visual noise. There was no evidence for an inversion effect-experts were just as accurate for inverted prints as they were for upright prints-but expert performance with artificially noisy prints was impressive. In Experiment 2, we separated matching and nonmatching print pairs in time. Experts were conservative, but they were still able to discriminate pairs of fingerprints that were separated by five-seconds, even though the task was quite different from their everyday experience. In Experiment 3, we separated the print pairs further in time to test the long-term memory of experts compared to novices. Long-term recognition memory for experts and novices was the same, with both performing around chance. In Experiment 4, we presented pairs of fingerprints quickly to experts and novices in a matching task. Experts were more accurate than novices, particularly for similar nonmatching pairs, and experts were generally more accurate when they had more time. It is clear that experts can match prints accurately when there is reduced visual information, reduced opportunity for direct comparison, and reduced time to engage in deliberate reasoning. These findings suggest that non-analytic processing accounts for a substantial portion of the variance in expert fingerprint matching accuracy. Our conclusion is at odds with general wisdom in fingerprint identification practice and formal training, and at odds with the claims and explanations that are offered in court during expert testimony.",PLOS ONE,9,,,Web of Science,"Thompson, Matthew B.; Tangen, Jason M.",
,598,X,Skilled vs less-skilled in ball games,Time to make decision,Thomson,2008,SKILL-RELATED DIFFERENCES BETWEEN ATHLETES AND NONATHLETES IN SPEED DISCRIMINATION,"Context Sensitive Links Full Text from Publisher   Close Abstract
This study examined differences in decision-making time and accuracy as attributes of speed discrimination between participants skilled and less skilled in ball games. A total of 130 men, ages 18 to 28 years (M = 21.2, SD = 2.6), participated. The athlete sample (skilled group) comprised Estonian National League volleyball (n = 26) and basketball players (n 27), The nonathlete sample (less skilled group) included 77 soldiers of the Estonian Defence: Force with no reported top level experience in ball games. Speed-discrimination stimuli were images of red square shapes presented moving along the sagittal axis at four different virtual velocities on a computer (PC) screen which represented the frontal plane. Analysis indicated that only decision-making time was significantly different between the elite athlete and nonathlete groups. This finding suggests a possible effect of ball-game skills for decision-making time in speed discrimination.
",PERCEPTUAL AND MOTOR SKILLS,107,893,900,Web of Science,"Thomson, Kaivo; Watt, Anthony; Liukkonen, Jarmo",
,601,X,Expert pilots vs novice,Time-sharing efficiency and resource allocation,Tsang,1998,"Age, attention, expertise, and time-sharing performance","Time-sharing efficiency and resource allocation from a group of pilots with expertise in time-sharing and a group of nonpilots (ages 20–79 years) were examined. Participants performed 5 dual tasks that represented different degrees of structural similarity as characterized by the structure-specific resource model. Age, expertise, and structural similarity were found to interactively affect time-sharing performance through attentional resources. Age-related deficits in time-sharing were evident under conditions of intense attentional demands and when precise control was required. Modest expertise modulation of the age effects is likely to increase with more domain-specific time-sharing. The structure-specific resource model provided a useful framework for interpreting the relationship between aging and time-sharing performance. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Psychology and Aging,13,323,347,PsycARTICLES," Tsang, Pamela S.
Tsang
Pamela S.
Wright State U
Dept of Psychology
Dayton
OH
US",
9,604,X,latent fingerprint examiners,performance on fingerprint examination process,Ulery,2011,Accuracy and reliability of forensic latent fingerprint decisions,"The interpretation of forensic fingerprint evidence relies on the expertise of latent print examiners. The National Research Council of the National Academies and the legal and forensic sciences communities have called for research to measure the accuracy and reliability of latent print examiners’ decisions, a challenging and complex problem in need of systematic analysis. Our research is focused on the development of empirical approaches to studying this problem. Here, we report on the first large-scale study of the accuracy and reliability of latent print examiners’ decisions, in which 169 latent print examiners each compared approximately 100 pairs of latent and exemplar fingerprints from a pool of 744 pairs. The fingerprints were selected to include a range of attributes and quality encountered in forensic casework, and to be comparable to searches of an automated fingerprint identification system containing more than 58 million subjects. This study evaluated examiners on key decision points in the fingerprint examination process; procedures used operationally include additional safeguards designed to minimize errors. Five examiners made false positive errors for an overall false positive rate of 0.1%. Eighty-five percent of examiners made at least one false negative error for an overall false negative rate of 7.5%. Independent examination of the same comparisons by different participants (analogous to blind verification) was found to detect all false positive errors and the majority of false negative errors in this study. Examiners frequently differed on whether fingerprints were suitable for reaching a conclusion. (PsycINFO Database Record (c) 2017 APA, all rights reserved) (Source: journal abstract)",PNAS Proceedings of the National Academy of Sciences of the United States of America,108,7733,7738,PsycINFO ," Ulery, Bradford T.
Ulery
Bradford T.
Noblis
Falls Church
VA
US , Austin Hicklin, R.
Austin Hicklin
R.
Noblis
Falls Church
VA
US , Buscaglia, JoAnn
Buscaglia
JoAnn
Counterterrorism and Forensic Science Research Unit
Federal Bureau of Investigation Laboratory Division
Quantico
VA
US
joann.buscaglia@ic.fbi.gov , Roberts, Maria Antonia
Roberts
Maria Antonia
Print Support Unit
Federal Bureau of Investigation Laboratory Division
Quantico
VA
US",
9,605,X,physicians,accept/reject diagnosis,van den Berge,2012,Accepting Diagnostic Suggestions by Residents: A Potential Cause of Diagnostic Error in Medicine,"BACKGROUND: Psychological research has shown that people tend toward accepting rather than refuting hypotheses. Diagnostic suggestions may evoke such confirmatory tendencies in physicians, which may lead to diagnostic errors. PURPOSE: This study investigated the influence of a suggested diagnosis on physicians' diagnostic decisions on written clinical cases. It was hypothesized that physicians would tend to go along with the suggestions and therefore would have more difficulty rejecting incorrect suggestions than accepting correct suggestions. METHODS: Residents (N = 24) had to accept or reject suggested diagnoses on 6 cases. Three of those suggested diagnoses were correct, and 3 were incorrect. RESULTS: Results showed the mean correct evaluation score on cases with a correct suggested diagnosis (M = 2.21, SD = 0.88) was significantly higher than the score on cases with an incorrect suggested diagnosis (M = 1.42, SD = 0.97), meaning physicians indeed found it easier to accept correct diagnoses than to reject incorrect diagnoses, t(23) = 2.74, p < .05, d = .85, despite equal experience with the diagnoses. CONCLUSION: These findings indicate that suggested diagnoses may evoke confirmatory tendencies and consequently may lead to diagnostic errors.",TEACHING AND LEARNING IN MEDICINE,24,149,154,Web of Science,"van den Berge, Kees; Mamede, Silvia; van Gog, Tamara; Romijn, Johannes A.; van Guldener, Coen; van Saase, Jan L. C. M.; Rikers, Remy M. J. P.",
9,608,X,Criminal defense attorneys,Mental illness ratings bias,Varela,2011,Do defense attorney referrals for competence to stand trial evaluations depend on whether the client speaks English or Spanish?,"Criminal defense attorneys ( N = 142) responded to a survey asking them to read a vignette describing a Hispanic defendant charged with assault and rate the severity of the defendant’s mental illness and likelihood of referring him for an evaluation of competence to stand trial (CST). The vignettes varied in terms of whether the defendant spoke English or Spanish, and whether his mental illness symptoms were obvious or ambiguous. Overall, attorneys rated the Spanish-speaking defendant as less mentally ill than the English-speaking defendant, and were less likely to refer the Spanish-speaking defendant for a CST evaluation. Attorneys who perceived more logistical barriers to seeking a CST evaluation in their local communities were less likely to refer the defendant for a CST evaluation, but only when the defendant spoke Spanish. These findings suggest attorney decisions were influenced by language, although further research is needed to identify the mechanism of this influence. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Law and Human Behavior,35,501,511,PsycARTICLES," Varela, Jorge G.
Varela
Jorge G.
Department of Psychology and Philosophy
Sam Houston State University
Huntsville
TX
US
jgv002@shsu.edu , Boccaccini, Marcus T.
Boccaccini
Marcus T.
Department of Psychology and Philosophy
Sam Houston State University
Huntsville
TX
US , Gonzalez, Ernie, Jr.
Gonzalez
Ernie
Jr.
Department of Psychology and Philosophy
Sam Houston State University
Huntsville
TX
US , Gharagozloo, Laadan
Gharagozloo
Laadan
Department of Psychology and Philosophy
Sam Houston State University
Huntsville
TX
US , Johnson, Shara M.
Johnson
Shara M.
Department of Psychology and Philosophy
Sam Houston State University
Huntsville
TX
US",
,609,X,experts vs near experts,gaze behavior,Vickers,1996,Visual control when aiming at a far target,"Gaze behavior of elite basketball athletes was determined as they performed 10 accurate and 10 inaccurate free throws (FTs) to a regulation basket wearing an eye tracker that permitted normal accuracy. Experts (mean FT = 78%) differed significantly from near experts (mean FT = 56%) in having a longer fixation on the target combined with an earlier fixation offset during the shooting action. These results, which depart from current models of near aiming, are tentatively explained using a location-suppression hypothesis. During the early phases of the aiming action, a fixation of long duration is needed on a specific target location. As the aiming action is then performed, vision appears to be a liability and is suppressed. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Journal of Experimental Psychology: Human Perception and Performance,22,342,354,PsycARTICLES," Vickers, Joan N.
Vickers
Joan N.
U Calgary
Neuro-Motor Psychology Lab
Calgary
AB
Canada",
9,610,X,Probation officers,Recommendation for probation,Vidal,2007,"Effect of psychopathy, abuse, and ethnicity on juvenile probation officers' decision-making and supervision strategies","Probation officers exercise substantial discretion in their daily work with troubled and troubling juvenile offenders. In this experiment, we examine the effect of psychopathic features, child abuse, and ethnicity on 204 officers' expectancies of, recommendations for, and approach to supervising, juvenile offenders. The results indicate that officers (a) have decision-making and supervision approaches that are affected by a youth's psychopathic traits and history of child abuse--but not ethnicity; (b) view both abused youth and psychopathic youth as highly challenging cases on a path toward adult criminality; and (c) have greater hope and sympathy for abused youth than psychopathic youth. For abused youth, officers are likely to recommend psychological services and ""go the extra mile"" by providing greater support, referrals, and networking than is typical for their caseload. For psychopathic youth, officers expect poor treatment outcomes and are ""extra strict,"" enforcing rules that typically are not enforced for others on their caseload. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Law and Human Behavior,31,479,498,PsycARTICLES," Vidal, Sarah
Vidal
Sarah
University of California
Irvine
CA
US , Skeem, Jennifer L.
Skeem
Jennifer L.
University of California
Irvine
CA
US
skeem@uci.edu",
,613,X,Students vs specialized students vs IO professionals,,Voskuijl,1999,The use of student data in job analysis research,"The use of student data in research in industrial and organizational(I/O) psychology has been questioned several times (e. g., M. E. Gordon et al, 1986; E. T. Cornelius et al, 1984; A. S. DeNisi et al, 1987). This paper discusses the problems surrounding the use and comparability of student as opposed to expert data, and illustrates these with a study conducted in the Netherlands. The study examined the differences between 48 first-year psychology students, 53 students of I/O psychology, and 57 professionals (psychologists) in the field of personnel psychology. Ss rated a detailed job description on the importance of 20 attributes for successful job performance. Results showed, as expected, that neither student group can be considered equivalent to professionals, but that I/O students are more similar to professionals than freshmen. For specific research questions, specific student samples, such as I/O students, can provide results that can be generalized to professionals. The use of first-year students, however, remains questionable in this context. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",European Journal of Psychological Assessment,15,127,132,PsycARTICLES," Voskuijl, Olga F.
Voskuijl
Olga F.
U Amsterdam
Dept of Industrial & Organizational Psychology
Amsterdam
Netherlands , Meyer, Joan
Meyer
Joan",
